Name,Active substance,Amount of substance,Form,Prescription type
Recodium max,Piracetamum 1200 mg,1200 mg,Tabletki powlekane,Rp
Bioprazol Bio Control,Omeprazolum 10 mg,10 mg,Kapsułki dojelitowe. twarde,OTC
Vokanamet,Canagliflozinum 50 mg + Metformini hydrochloridum 850 mg,50 mg + 850 mg,Tabletki powlekane,Rp
Vokanamet,Canagliflozinum 50 mg + Metformini hydrochloridum 1000 mg,50 mg + 1000 mg,Tabletki powlekane,Rp
Vokanamet,Canagliflozinum 150 mg + Metformini hydrochloridum 850 mg,150 mg + 850 mg,Tabletki powlekane,Rp
Vokanamet,Canagliflozinum 150 mg + Metformini hydrochloridum 1000 mg,150 mg + 1000 mg,Tabletki powlekane,Rp
Ramizek Combi,Ramiprilum 2.5 mg + Amlodipinum 5 mg,2.5 mg + 5 mg,Kapsułki twarde,Rp
Ramizek Combi,Ramiprilum 5 mg + Amlodipinum 6.934 mg,5 mg + 5 mg,Kapsułki twarde,Rp
Moxifloxacin Kabi,Moxifloxacini hydrochloridum 400 mg,400 mg/250 ml,Roztwór do infuzji,Rp
Simbrinza,Brinzolamidum 10 mg/ml + Brimonidinum 2 mg/ml,(10 mg + 2 mg)/ml,Krople do oczu. zawiesina,Rp
Ramizek Combi,Ramiprilum 10 mg + Amlodipini besilas 6.934 mg,10 mg + 5 mg,Kapsułki twarde,Rp
Ramizek Combi,Ramiprilum 5 mg + Amlodipini besilas 13.868 mg,5 mg + 10 mg,Kapsułki twarde,Rp
Ramizek Combi,Ramiprilum 10 mg + Amlodipini besilas 13.868 mg,10 mg + 10 mg,Kapsułki twarde,Rp
Ibuprofen Dr. Max,Ibuprofenum 400 mg,400 mg,Tabletki powlekane,OTC
Berberis Vulgaris,Berberis vulgaris -,2CH. 4CH. 5CH. 7CH. 9CH. 12CH. 15CH. 30CH. 200CH. 6K. 12K. 30K. 200K. 1MK. 10MK. 100MK,Granulki; granulki w pojemniku jednodawkowym; krople doustne. roztwór,OTC
Medikinet CR 50 mg,Methylphenidati hydrochloridum 50 mg,50 mg,Kapsułki o zmodyfikowanym uwalnianiu. twarde,Rpw
Medikinet CR 60 mg,Methylphenidati hydrochloridum 60 mg,60 mg,Kapsułki o zmodyfikowanym uwalnianiu. twarde,Rpw
Optilyte,Sodu chlorek 5.75 g + Sodu octan trójwodny 4.62 g + Sodu cytrynian dwuwodny 0.9 g + Calcii chloridum dihydricum 0.26 g + Kalii chloridum 0.38 g + Magnesii chloridum hexahydricum 0.2 g,-,Roztwór do infuzji,Rp
neoFuragina,Furaginum 50 mg,50 mg,Tabletki,OTC
Gyno-Pevaryl 150,Econazoli nitras 150 mg,150 mg,Globulki,Rp
Imovane,Zopiclonum 7.5 mg,7.5 mg,Tabletki powlekane,Rp
Ebilfumin,Oseltamivirum 30 mg,30 mg,Kapsułki twarde,Rp
Ebilfumin,Oseltamivirum 45 mg,45 mg,Kapsułki twarde,Rp
Cluvot 250 j.m.,Factor XIII 250 j.m. (200 - 320 j.m.),250 j.m.,Proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań i infuzji,Rp
Cluvot 1250 j.m.,Factor XIII 1250 j.m. (1000 - 1600 j.m.),1250 j.m.,Proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań i infuzji,Rp
Ebilfumin,Oseltamivirum 75 mg,75 mg,Kapsułki twarde,Rp
Pregabalin Pfizer,Pregabalinum 75 mg,75 mg,Kapsułki twarde,Rp
Pregabalin Pfizer,Pregabalinum 150 mg,150 mg,Kapsułki twarde,Rp
Eplenocard,Eplerenonum 25 mg,25 mg,Tabletki powlekane,Rp
Eplenocard,Eplerenonum 50 mg,50  mg,Tabletki powlekane,Rp
Azalia,Desogestrelum 75 mcg,75 mcg,Tabletki powlekane,Rp
Ipozumax,Itraconazolum 100 mg,100 mg,Kapsułki twarde,Rp
Azithromycin Krka,Azithromycinum dihydricum 262.05 mg,250 mg,Tabletki powlekane,Rp
Azithromycin Krka,Azithromycinum dihydricum 524.1 mg,500 mg,Tabletki powlekane,Rp
Płyn Ringera Fresenius,Natrii chloridum 8.6 mg + Kalii chloridum 0.3 mg + Calcii chloridum dihydricum 0.33 mg/ml,(8.6 mg + 0.3 mg + 0.33 mg)/ml,Roztwór do infuzji,Rp
Gynoxin,Fenticonazoli nitras 600 mg,600 mg,Kapsułka dopochwowa. miękka,Rp
Logest,Gestodenum 0.075 mg + Ethinylestradiolum 0.02 mg,0.075 mg + 0.02 mg,Tabletki drażowane,Rp
Metopirone,Metyraponum 250 mg,250 mg,Kapsułki miękkie,Rp
Stieprox,Ciclopirox olaminum 15 mg/g (1.5%),15 mg/ml,Szampon leczniczy,Rp
Travocort,Isoconazoli nitras 10 mg/g + Diflucortoloni valeras 1 mg/g,(10 mg + 1 mg)/g,Krem,Rp
Belara,Ethinylestradiolum 0.03 mg + Chlormadinoni acetas 2 mg,0.03 mg + 2 mg,Tabletki powlekane,Rp
Ofloxamed,Ofloxacin 3 mg/ml,3 mg/ml,Krople do oczu. roztwór,Rp
Atrodil,Ipratropii bromidum 20 mcg/dawkę odmierzoną,20 mcg/dawkę inh.,Aerozol inhalacyjny. roztwór,Rp
Tersilat,Terbinafini hydrochloridum 10 mg/g,10 mg/g,Aerozol na skórę. roztwór,OTC
Cetirizine Genoptim SPH,Cetirizini dihydrochloridum 10 mg,10 mg,Tabletki powlekane,OTC
Moloxin,Moxifloxacini hydrochloridum 454.75 mg,400 mg,Tabletki powlekane,Rp
Mydocalm forte,Tolperisoni hydrochloridum 150 mg,150 mg,Tabletki powlekane,Rp
Aldactone,Kalii canrenoas 20 mg/ml,20 mg/ml,Roztwór do wstrzykiwań,Rp
Aknemycin Plus,Erythromycinum 40 mg/g + Tretinoinum 0.25 mg/g,(40 mg + 0.25 mg)/g,Płyn na skórę,Rp
Mirena,Levonorgestrelum 52 mg. 20 mcg/24h,52 mg. 20 mcg/24 h,System terapeutyczny domaciczny,Rp
Escitalopram Bluefish,Escitalopramum 10 mg,10 mg,Tabletki powlekane,Rp
Escitalopram Bluefish,Escitalopramum 20 mg,20 mg,Tabletki powlekane,Rp
Cavinton Forte,Vinpocetinum 10 mg,10 mg,Tabletki,Rp
Neurovit,Thiamini hydrochloridum 100 mg + Pyridoxini hydrochloridum 200 mg + Cyanocobalaminum 0.2 mg,100 mg + 200 mg + 0.2 mg,Tabletki powlekane,Rp
Lokren 20,Betaxololi hydrochloridum 20 mg,20 mg,Tabletki powlekane,Rp
Otinum,Cholini salicylas 0.2 g/g,0.2 g/g,Krople do uszu. roztwór,OTC
Ambroksol Hasco,Ambroxoli hydrochloridum 30 mg/5 ml,30 mg/5 ml,Syrop,OTC
Ambroksol Hasco Junior,Ambroxoli hydrochloridum 15 mg/5 ml,15 mg/5 ml,Syrop,OTC
Dicloratio retard 100,Diclofenacum natricum 100 mg,100 mg,Kapsułki o przedłużonym uwalnianiu,Rp
Lutenyl,Nomegestroli acetas 5 mg,5 mg,Tabletki,Rp
Maxitrol,Dexamethasonum 1 mg/g + Neomycini sulfas 3500 j.m. + Polymyxini B sulfas 6000 j.m.,(1 mg + 3500 j.m. + 6000 j.m.)/g,Maść do oczu,Rp
Logest,Gestodenum 0.075 mg + Ethinylestradiolum 0.02 mg,0.075 mg + 0.02 mg,Tabletki drażowane,Rp
Zentel,Albendazolum 400 mg,400 mg,Tabletki do rozgryzania i żucia,Rp
Beto 100 ZK,Metoprololi succinas 95 mg,95 mg,Tabletki o przedłużonym uwalnianiu,Rp
Tobrex,Tobramycinum 3 mg/g,3 mg/g,Maść do oczu,Rp
Claritine Allergy,Loratadinum 10 mg,10 mg,Tabletki,OTC
Tranxene,Dikalii clorazepas 5 mg,5 mg,Kapsułki,Rp
Tiapridal,Tiapridum 100 mg,100 mg,Tabletki,Rp
Demezon,Dexamethasoni natrii phosphas 4.372 mg/ml,4 mg/ml,Roztwór do wstrzykiwań,Rp
Demezon,Dexamethasoni natrii phosphas 8.744 mg/ml,8 mg/ml,Roztwór do wstrzykiwań,Rp
Gripblocker Express,Paracetamolum 300 mg + Pseudoephedrini hydrochloridum 30 mg + Dextromethorphani hydrobromidum 12 mg,300 mg + 30 mg + 12 mg,Kapsułki miękkie,OTC
Duspatalin retard,Mebeverini hydrochloridum 200 mg,200 mg,Kapsułki o przedłużonym uwalnianiu,Rp
Saridon,Paracetamolum 250 + Propyphenazonum 150 + Coffeinum 50,250 mg + 150 mg + 50 mg,Tabletki,OTC
Neurovit,Thiamini hydrochloridum 100 + Pyridoxini hydrochloridum 200 + Cyanocobalaminum 0.2,100 mg + 200 mg + 0.2 mg,Tabletki powlekane,Rp
Januvia,Sitagliptinum 25 mg,25 mg,Tabletki powlekane,Rp
Niko-Lek Lemon,Nicotinum 2 mg,2 mg,Guma do żucia. lecznicza,OTC
Niko-Lek Lemon,Nicotinum 4 mg,4 mg,Guma do żucia. lecznicza,OTC
Niko-Lek Mint,Nicotinum 2 mg,2 mg,Guma do żucia. lecznicza,OTC
Niko-Lek Mint,Nicotinum 4 mg,4 mg,Guma do żucia. lecznicza,OTC
Ligosan,Doxycyclini hyclas 161.5 mg/g,140 mg/g,Żel okołozębowy,Rp
Minorga,Minoxidilum 1.2 g/60 mL,20 mg/ml ,Roztwór na skórę,OTC
Minorga,Minoxidilum 3 g/60 ml,50 mg/ml ,Roztwór na skórę,Rp
AzitroLEK 500,Azithromycinum 500 mg,500 mg,Tabletki powlekane,Rp
Procto-Hemolan,Tribenosidum 400 mg/2 g + Lidocainum 40 mg/2 g,400 mg + 40 mg,Czopki,OTC
Sobycombi,Bisoprololi fumaras 10 mg + Amlodipinum 10 mg,10 mg + 10 mg,Tabletki,Rp
Sobycombi,Bisoprololi fumaras 5 mg + Amlodipinum 5 mg,5 mg + 5 mg,Tabletki,Rp
Sobycombi,Bisoprololi fumaras 5 mg + Amlodipinum 10 mg,5 mg + 10 mg,Tabletki,Rp
Sobycombi,Bisoprololi fumaras 10 mg + Amlodipinum 5 mg,10 mg + 5 mg,Tabletki,Rp
Effortil,Etilefrini hydrochloridum 7.5 mg/g,7.5 mg/g,Krople doustne,Rp
Logest,Gestodenum 0.075 mg + Ethinylestradiolum 0.02 mg,0.075 mg + 0.02 mg,Tabletki drażowane,Rp
Alka-Seltzer,Acidum acetylsalicylicum 324 mg,324 mg,Tabletki musujące,OTC
Ezetimibe Mylan,Ezetimibum 10 mg,10 mg,Tabletki,Rp
Prinivil,Lisinoprilum 5 mg,5 mg,Tabletki,Rp
Regulon,Ethinylestradiolum 0.03 mg + Desogestrelum 0.15 mg,0.03 mg + 0.15 mg,Tabletki powlekane,Rp
Zelsiglat,Celecoxibum 100 mg,100 mg,Kapsułki twarde,Rp
Zelsiglat,Celecoxibum 200 mg,200 mg,Kapsułki twarde,Rp
Memantine Vipharm,Memantini hydrochloridum 10 mg,10 mg,Tabletki powlekane,Rp
Inhibace,Cilazaprilum 2.5 mg,2.5 mg,Tabletki powlekane,Rp
Gutron,Midodrini hydrochloridum 2.5 mg,2.5 mg,Tabletki,Rp
Diprosalic,Betamethasoni dipropionas 0.64 mg  + Acidum salicylicum 30 mg,(0.64 mg + 30 mg)/g,Maść,Rp
Otinum,Cholini salicylas 0.2 g/g,0.2 g/g,Krople do uszu. roztwór,OTC
Zentel,Albendazolum 400 mg/20 ml,400 mg/20 ml,Zawiesina doustna,Rp
Fucidin,Natrii fusidas 20 mg/g,20 mg/g,Maść,Rp
Fucidin,Acidum fusidicum 20 mg/g,20 mg/g,Krem,Rp
Uprox XR,Tamsulosini hydrochloridum 0.4 mg,0.4 mg,Tabletki o przedłużonym uwalnianiu,Rp
Bisacodyl VP,Bisacodylum 5 mg,5 mg,Tabletki dojelitowe,OTC
Ibandronic Acid Noridem,Acidum ibandronicum 6.414 mg (jedmowodny),6 mg/6 ml,Koncentrat do sporządzania roztworu do infuzji,Rp
Memantine Vipharm,Memantini hydrochloridum 20 mg,20 mg,Tabletki powlekane,Rp
Caramlo,Candesartanum cilexetili 8 mg + Amlodipinum 5 mg,8 mg + 5 mg,Tabletki,Rp
Caramlo,Candesartanum cilexetili 16 mg + Amlodipinum 10 mg,16 mg + 10 mg,Tabletki,Rp
Coripren,Enalaprili maleas 20 mg + Lercanidipini hydrochloridum 20 mg,20 mg + 20 mg,Tabletki powlekane,Rp
Travocort,Isoconazoli nitras 10 mg/1 g + Diflucortoloni valeras 1 mg/1 g,(10 mg + 1 mg)/g,Krem,Rp
Valcyte,Valganciclovirum 5 g,50 mg/ml,Proszek do sporządzania roztworu doustnego,Rp
Rosulip Plus,Rosuvastatinum 20 mg + Ezetimibum 10 mg,20 mg + 10 mg,Kapsułki twarde,Rp
Dobenox,Calcii dobesilas monohydricum 250 mg,250 mg,Tabletki powlekane,OTC
Dobenox Forte,Calcii dobesilas monohydricum 500 mg,500 mg,Tabletki powlekane,OTC
Rosulip Plus,Rosuvastatinum 10 mg + Ezetimibum 10 mg,10 mg + 10 mg,Kapsułki twarde,Rp
Rosulip Plus,Rosuvastatinum 40 mg + Ezetimibum 10 mg,40 mg + 10 mg,Kapsułki twarde,Rp
Drosfemine,Ethinylestradiolum 0.02 mg + Drospirenonum 3 mg,0.02 mg + 3 mg,Tabletki powlekane,Rp
Drosfemine mini,Ethinylestradiolum 0.02 mg + Drospirenonum 3 mg,0.02 mg + 3 mg,Tabletki powlekane,Rp
Drosfemine forte,Ethinylestradiolum 0.03 mg + Drospirenonum 3 mg,0.03 mg + 3 mg,Tabletki powlekane,Rp
Bisacodyl VP,Bisacodylum 5 mg,5 mg,Tabletki dojelitowe,OTC
Sirdalud,Tizanidinum 4 mg,4 mg,Tabletki,Rp
Synagis,Palivizumabum 100 mg/ml,100 mg/ml,Roztwór do wstrzykiwań,Rp
Lactulosum Amara,Lactulosum liquidum 7.5 g/15 ml,7.5 g/15 ml,Syrop,OTC
Cordarone,Amiodaroni hydrochloridum 200 mg,200 mg,Tabletki,Rp
Nemedan,Memantini hydrochloridum 10 mg,10 mg,Tabletki powlekane,Rp
Nemedan,Memantini hydrochloridum 20 mg,20 mg,Tabletki powlekane,Rp
Betadine,Povidonum iodinatum 100 mg/g,100 mg/g,Maść,OTC
Elocom,Mometasoni furoas 1 mg/g,1 mg/g,Maść,Rp
Neosine forte,Inosinum pranobexum 500 mg/5 ml,500 mg/5 ml,Syrop,OTC
Neosine forte,Inosinum pranobexum 1000 mg,1000 mg,Tabletki,OTC
Escitil,Escitalopramum 10 mg,10 mg,Tabletki powlekane,Rp
Palgotal,Tramadoli hydrochloridum 75 mg + Paracetamolum 650 mg,75 mg + 650 mg,Tabletki powlekane,Rp
Ibufen mini Junior,Ibuprofenum 100 mg,100 mg,Kapsułki miękkie,OTC
Forlax 10 g,Macrogolum 4000 10 g,10 g,Proszek do sporządzania roztworu doustnego,OTC
Preductal MR,Trimetazidini dihydrochloridum 35 mg,35 mg,Tabletki o zmodyfikowanym uwalnianiu,Rp
Mirzaten,Mirtazapinum 30 mg,30 mg,Tabletki powlekane,Rp
Mirzaten,Mirtazapinum 45 mg,45 mg,Tabletki powlekane,Rp
Nasivin Zatoki i Katar,Ibuprofenum 200 mg + Pseudoephedrini hydrochloridum 30 mg,200 mg + 30 mg,Tabletki powlekane,OTC
Momester,Mometasoni furoas monohydricum 0.5173 mg/g,50 mcg/dawkę,Aerozol do nosa. zawiesina,Rp
Debridat,Trimebutinum 7.87 mg/g,7.87 mg/g,Granulat do sporządzania zawiesiny doustnej,Rp
Lecalpin,Lercanidipini hydrochloridum 10 mg,10 mg,Tabletki powlekane,Rp
Lecalpin,Lercanidipini hydrochloridum 20 mg,20 mg,Tabletki powlekane,Rp
RANMET XR,Metformini hydrochloridum 500 mg,500 mg,Tabletki o przedłużonym uwalnianiu,Rp
RANMET XR,Metformini hydrochloridum 750 mg,750 mg,Tabletki o przedłużonym uwalnianiu,Rp
RANMET XR,Metformini hydrochloridum 1000 mg,1000 mg,Tabletki o przedłużonym uwalnianiu,Rp
Prothromplex Total NF,Ludzki czynnik krzepnięcia II 480 - 900 j.m./fiol. + Ludzki czynnik krzepnięcia VII 500 j.m./fiol. + Ludzki czynnik krzepnięcia IX 600 j.m./fiol. + Ludzki czynnik krzepnięcia X 600 j.m./fiol. + Białko C 400 j.m./fiol.,600 j.m.,Proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań,Rp
Cefazolin MIP Pharma,Cefazolinum natricum 2.096 g,2 g,Proszek do sporządzania roztworu do wstrzykiwań lub infuzji,Rp
Linoseptic,Octenidini dihydrochloridum 0.1 g + Phenoxyethanolum 1 g,(1 mg + 10 mg)/g,Żel,OTC
Linoseptic,Octenidini dihydrochloridum 0.1 g + Phenoxyethanolum 2 g,(1 mg + 20 mg)/g,Aerozol na skórę. roztwór,OTC
Etoposide Kabi,Etoposidum 20 mg/ml,20 mg/ml,Koncentrat do sporządzania roztworu do infuzji,Rp
Doxycyclinum Polfarmex,Doxycyclinum 100 mg,100 mg,Kapsułki twarde,Rp
Ginkofar Extra,Ginkgonis extractum siccum raffinatum et quantificatum 240 mg,240 mg,Tabletka powlekana,OTC
Ginkofar Intense,Ginkgonis extractum siccum raffinatum et quantificatum 120 mg,120 mg,Tabletka powlekana,OTC
Latanoprost Timolol Genoptim,Latanoprostum 50 mcg/1 ml + Timololum 5 mg/1 ml,(50 mcg + 5 mg) /ml,Krople do oczu. roztwór,Rp
Solifurin,Solifenacini succinas 5 mg,5 mg,Tabletki powlekane,Rp
Solifurin,Solifenacini succinas 10 mg,10 mg,Tabletki powlekane,Rp
Tadalafil PMCS,Tadalafilum 5 mg,5 mg,Tabletki powlekane,Rp
Eloprine,Inosinum pranobexum 500 mg,500 mg,Tabletki,OTC
Aleric Deslo Pro,Desloratadinum 2.5 mg,2.5 mg,Tabletki ulegające rozpadowi w jamie ustnej,OTC
Aleric Deslo Pro,Desloratadinum 5 mg,5 mg,Tabletki ulegające rozpadowi w jamie ustnej,OTC
Tadalafil PMCS,Tadalafilum 10 mg,10 mg,Tabletki powlekane,Rp
Crohnax,Mesalazinum 1000 mg,1000 mg,Czopki,Rp
Sirdalud,Tizanidinum 4 mg,4 mg,Tabletki,Rp
Tadalafil PMCS,Tadalafilum 20 mg,20 mg,Tabletki powlekane,Rp
Crohnax,Mesalazinum 500 mg,500 mg,Czopki,Rp
Agrypin,Paracetamolum 325 mg + Pseudoephedrini hydrochloridum 30 mg + Dextromethorphani hydrobromidum 10 mg,325 mg + 30 mg + 10 mg,Tabletki powlekane,OTC
Dulofor,Duloxetinum 30 mg,30 mg,Kapsułki dojelitowe. twarde,Rp
Dulofor,Duloxetinum 60 mg,60 mg,Kapsułki dojelitowe. twarde,Rp
Tussicalin,Butamirati citras 7.5 mg/ 5 ml,7.5 mg/5 ml,Syrop,OTC
Bendamustine Kabi,Bendamustini hydrochloridum 2.5 mg/ml,2.5 mg/ml,Proszek do sporządzania koncentratu roztworu do infuzji,Rp
Ibuprofen Dermogen,Ibuprofenum 400 mg,400 mg,Tabletki powlekane,Rp
Ibuprom Ultramax,Ibuprofenum 600 mg,600 mg,Tabletki powlekane,OTC
Fokusin SR,Tamsulosini hydrochloridum 0.4 mg,0.4 mg,Tabletki o przedłużonym uwalnianiu,Rp
Metizol,Thiamazolum 5 mg,5 mg,Tabletki,Rp
INALDIN Gardło,Benzydamini hydrochloridum 1.5 mg/ml,1.5 mg/ml,Aerozol do stosowania w jamie ustnej. roztwór,OTC
INALDIN Gardło,Benzydamini hydrochloridum 3 mg,3 mg,Tabletki do ssania,OTC
Pantoprazol Accord,Pantoprazolum natricum sesquihydricum 45.11 mg,40 mg,Proszek do sporządzania roztworu do wstrzykiwań,Rp
Paracetamol Hasco o smaku pomarańczowym,Paracetamolum 120 mg/5 ml,120 mg/5 ml,Zawiesina doustna,OTC
Eloprine Forte,Inosinum pranobexum 500 mg/5 ml,500 mg/5 ml,Syrop,OTC
Cartexan,Chondroitini natrii sulfas 400 mg,400 mg,Kapsułki twarde,Rp
Taptiqom,Tafluprostum 15 mcg + Timololum 5 mg/ml,(15 mcg + 5 mg)/ml,Krople do oczu. roztwór,Rp
X-Systo,Pivmecilinami hydrochloridum 400 mg,400 mg,Tabletki powlekane,Rp
Tolperison NeuroPharma,Tolperisoni hydrochloridum 150 mg,150 mg,Tabletki powlekane,Rp
Prenome,Omeprazolum 10 mg,10 mg,Kapsułki dojelitowe. twarde,Rp
Tantum Verde,Benzydamini hydrochloridum 1.5 mg/ml,1.5 mg/ml,Aerozol do stosowania w jamie ustnej i gardle,OTC
Metizol,Thiamazolum 5 mg,5 mg,Tabletki,Rp
Omacor,Omega-3 acidorum esteri ethylici 90 1000 mg,1000 mg,Kapsułki miękkie,Rp
Cortiment MMX,Budesonidum 9 mg,9 mg,Tabletki o przedłużonym uwalnianiu,Rp
Xiflodrop,Moxifloxacini hydrochloridum 5.45 mg/ml,5 mg/ml,Krople do oczu,Rp
Travoprost Genoptim,Travoprostum 40 mcg/ml,40 mcg/ml,Krople do oczu. roztwór,Rp
Duozinal,Cetirizini dihydrochloridum 2.5 mg/5 ml + Calcii chloridum dihydricum 58 mg/5 ml,(2.5 mg + 58 Ca2+)/5 ml,Syrop,OTC
Bendamustine Accord,Bendamustini hydrochloridum monohydricum 25 mg/fiolkę lub 100 mg/fiolkę,2.5 mg/ml,Proszek do sporządzania koncentratu roztworu do infuzji,Rp
Beto 25 ZK,Metoprololi succinas 23.75 mg,23.75 mg,Tabletki o przedłużonym uwalnianiu,Rp
Orlifique,Levonorgestrel 0.1 mg + Ethinylestradiolum 0.02 mg,0.1 mg + 0.02 mg,Tabletki powlekane,Rp
Levofloxacin Genoptim,Levofloxacinum 5 mg/ml,5 mg/ml,Krople do oczu. roztwór,Rp
AlleMax,Cetirizini dihydrochloridum 10 mg,10 mg,Tabletki powlekane,OTC
Braltus,Tiotropium,10 mcg,Proszek do inhalacji w kapsułce twardej,Rp
Softacort,Hydrocortisoni natrii phosphas 3.35 mg/ml,3.35 mg/ml,Krople do oczu. roztwór w pojemniku jednodawkowym,Rp
Cinacalcet Accord,Cinacalcetum 30 mg,30 mg,Tabletki powlekane,Rp
Cinacalcet Accord,Cinacalcetum 60 mg,60 mg,Tabletki powlekane,Rp
Luttagen,Progesteronum 100 mg,100 mg,Kapsułki miękkie,Rp
Luttagen,Progesteronum 200 mg,200 mg,Kapsułki miękkie,Rp
Abilium,Aripiprazolum 10 mg,10 mg,Kapsułki twarde,Rp
Abilium,Aripiprazolum 15 mg,15 mg,Kapsułki twarde,Rp
Cinacalcet Accord,Cinacalcetum 90 mg,90 mg,Tabletki powlekane,Rp
Prazol,Omeprazolum 40 mg,40 mg,Kapsułki dojelitowe. twarde,Rp
Omegaflex special,izoleucyna 2.21 mg/ml + Leucine 10.96 mg/ml + lizyny chlorowodorek 9.95 mg/ml + Methioninum 6.84 mg/ml + fenyloalanina 12.29 mg/ml + Treoninum 6.35 mg/ml + Tryptophanum 2 mg/ml + Valine 9.01 mg/ml + Arginina 9.45 mg/ml + Histydynum hydrochloricum 5.92 mg/ml + Alaninum 16.98 mg/ml + Glicyna 5.78 mg/ml + Acidum asparticum 5.25 mg/ml + Glutamic acid 12.27 mg/ml + prolina 11.9 mg/ml + Serine 10.5 mg/ml + Natrii chloridum 0.946 mg/ml + Natrii acetas trihydratas 0.626 mg/ml + Kalii acetas 9.222 mg/ml + Magnesii acetas tetrahydricus 2.274 mg/ml + wapnia chlorek sześciowodny 1.558 mg/ml + Natrii hydroxidum 2.928 mg/ml + Glucosum monohydricum 396 mg/ml + Natrii dihydrophosphas dihydricus 6.24 mg/ml + Zinci acetas dihydras 17.56 mg/ml + Triglicerydy nasyconych kwasów tłuszczowych o średniej długości łańcucha 100 mg/ml + Oleum sojae purificatum 80 mg/ml + Omega-3 acidorum triglycerida 20 mg/ml,-,Emulsja do infuzji,Rp
Kalii chloridum 0.15% + Natrii chloridum 0.9% Kabi,Kalii chloridum 1.5 mg/ml + Natrii chloridum 9 mg/ml,(1.5 mg + 9 mg)/ml,Roztwór do infuzji,Rp
Kalii chloridum 0.3% + Natrii chloridum 0.9% Kabi,Kalii chloridum 3 mg/ml + Natrii chloridum 9 mg/ml,(3 mg + 9 mg)/ml,Roztwór do infuzji,Rp
Miconal,Miconazoli nitras 0.13 g/pojemnik,3.29 mg/g,Aerozol na skórę. zawiesina,OTC
Metizol,Thiamazolum 5 mg,5 mg,Tabletki,Rp
Espumisan,Simeticonum 40 mg/ml,40 mg/ml,Krople doustne. emulsja,OTC
Alotendin,Bisoprololi fumaras 5 mg + Amlodipini besilas 5 mg,5 mg + 5 mg,Tabletki,Rp
Alotendin,Bisoprololi fumaras 5 mg + Amlodipini besilas 10 mg,5 mg + 10 mg,Tabletki,Rp
Alotendin,Bisoprololi fumaras 10 mg + Amlodipini besilas 5 mg,10 mg + 5 mg,Tabletki,Rp
Alotendin,Bisoprololi fumaras 10 mg + Amlodipini besilas 10 mg,10 mg + 10 mg,Tabletki,Rp
Acarizax,Dermatophagoides pteronyssinus 12 SQ-HDM + Dermatophagoides farina,12 SQ-HDM,Liofilizat podjęzykowy,Rp
Colchican,Colchicinum 0.5 mg,0.5 mg,Tabletki powlekane,Rp
Micalcet,Cinacalcetum 30 mg,30 mg,Tabletki powlekane,Rp
Micalcet,Cinacalcetum 60 mg,60 mg,Tabletki powlekane,Rp
Micalcet,Cinacalcetum 90 mg,90 mg,Tabletki powlekane,Rp
Gexiro,Paracetamolum 500 mg + Ibuprofenum 150 mg,500 mg + 150 mg,Tabletki powlekane,OTC
Coltowan,Ezetimibum 10 mg,10 mg,Tabletki,Rp
Vesicare,Solifenacini succinas 1 mg/ml,1 mg/ml,Zawiesina doustna,Rp
Supliven,Ferri chloridum hexaahydricum 540 mcg + Cuprii chloridum dihydricum 102.3 mcg + Zinci chloridum 1050 mcg + Manganii chloridum tetrahydricum 19.79 mcg + Natrii selenis anhydricus 17.29 mcg + Natrii molybdas dihydricus 4.85 mcg + Kalii iodidum 16.6 mcg + Chromium chloride hexahydricum 5.33 mcg + Natrii fluoridum 210 mcg,-,Koncentrat do sporządzania roztworu do infuzji,Rp
Sinupret extract,Wyciąg natywny 160 mg + Maltodextrinum 34 mg + Silica colloidalis anhydrica 6 mg,160 mg,Tabletki drażowane,OTC
Malarone,Atovaquonum 250 mg + Proguanili hydrochloridum 100 mg,250 mg + 100 mg,Tabletki powlekane,Rp
Afobam,Alprazolamum 0.25 mg,0.25 mg,Tabletki,Rp
Finasteride Medreg,Finasteridum 5 mg,5 mg,Tabletki powlekane,Rp
Strepsils Intensive Direct,Flurbiprofen 8.75 mg,8.75 mg/dawkę,Aerozol do stosowania w jamie ustnej. roztwór,OTC
Afobam,Alprazolamum 0.5 mg,0.5 mg,Tabletki,Rp
Nifuroksazyd Polfarmex,Nifuroxazidum 200 mg,200 mg,Tabletki powlekane,OTC
Solcoseryl,Bezbiałkowy dializat z krwi cieląt 2.125 mg + Polidocanolum 10 mg,(2.125 mg + 10 mg)/g,Pasta do stosowania w jamie ustnej,OTC
Elocom,Mometasoni furoas 1 mg/g,1 mg/g,Maść,Rp
Bronchosol Maxipuren,Eucalypti aetheroleum 200 mg,200 mg,Kapsułki dojelitowe miękkie,OTC
Apra,Aripiprazolum 5 mg,5 mg,Tabletki,Rp
Apra,Aripiprazolum 10 mg,10 mg,Tabletki,Rp
Apra,Aripiprazolum 15 mg,15 mg,Tabletki,Rp
Apra,Aripiprazolum 30 mg,30 mg,Tabletki,Rp
Apra-swift,Aripiprazolum 10 mg,10 mg,Tabletki ulegające rozpadowi w jamie ustnej,Rp
Esomeprazol Accord,Esomeprazolum natricum 40 mg,40 mg,Proszek do sporządzania roztworu do wstrzykiwań i infuzji,Rp
